City,State,station_count,total_ports,city_state
Bedford Hills,NY,6,14,"Bedford Hills, NY"
Orange City,FL,6,10,"Orange City, FL"
Fairport,NY,6,24,"Fairport, NY"
Lower Alloways Creek,NJ,6,12,"Lower Alloways Creek, NJ"
Massena,NY,6,15,"Massena, NY"
Londonderry,NH,6,17,"Londonderry, NH"
Skowhegan,ME,6,16,"Skowhegan, ME"
Lost Hills,CA,6,139,"Lost Hills, CA"
Lorton,VA,6,13,"Lorton, VA"
South Plainfield,NJ,6,6,"South Plainfield, NJ"
Beaver,UT,6,62,"Beaver, UT"
Ridgway,CO,6,12,"Ridgway, CO"
Albert Lea,MN,6,20,"Albert Lea, MN"
Twentynine Palms,CA,6,15,"Twentynine Palms, CA"
Gaylord,MI,6,23,"Gaylord, MI"
Exeter,NH,6,17,"Exeter, NH"
Genoa,OH,6,29,"Genoa, OH"
Baraboo,WI,6,18,"Baraboo, WI"
Seaside Heights,NJ,6,12,"Seaside Heights, NJ"
Brookfield,WI,6,25,"Brookfield, WI"
Rosedale,MD,6,33,"Rosedale, MD"
Crystal Lake,IL,6,16,"Crystal Lake, IL"
Montgomery,OH,6,26,"Montgomery, OH"
Montgomery,NJ,6,17,"Montgomery, NJ"
Black River Falls,WI,6,26,"Black River Falls, WI"
Summerlin South,NV,6,12,"Summerlin South, NV"
North Mankato,MN,6,12,"North Mankato, MN"
Lander,WY,6,16,"Lander, WY"
Wappinger Falls,NY,6,46,"Wappinger Falls, NY"
Weston,MA,6,26,"Weston, MA"
Austell,GA,6,43,"Austell, GA"
Suffolk,VA,6,20,"Suffolk, VA"
Mill City,OR,6,8,"Mill City, OR"
Dripping Springs,TX,6,17,"Dripping Springs, TX"
Woodstock,VA,6,24,"Woodstock, VA"
Suffern,NY,6,28,"Suffern, NY"
Midvale,UT,6,34,"Midvale, UT"
Pleasantville,NY,6,42,"Pleasantville, NY"
Hoopa,CA,6,48,"Hoopa, CA"
Kaneohe,HI,6,26,"Kaneohe, HI"
Kalispell,MT,6,21,"Kalispell, MT"
Bethel Park,PA,6,20,"Bethel Park, PA"
Hopkinton,RI,6,11,"Hopkinton, RI"
Avon,CT,6,18,"Avon, CT"
Warminster,PA,6,10,"Warminster, PA"
Monticello,NY,6,24,"Monticello, NY"
Cromwell,CT,6,37,"Cromwell, CT"
Hays,KS,6,24,"Hays, KS"
Lacey Township,NJ,6,6,"Lacey Township, NJ"
Vernon Hills,IL,6,23,"Vernon Hills, IL"
Cotulla,TX,6,23,"Cotulla, TX"
Baileys Harbor,WI,6,9,"Baileys Harbor, WI"
Miami Gardens,FL,6,18,"Miami Gardens, FL"
Camp Murray,WA,6,12,"Camp Murray, WA"
Camp Hill,PA,6,12,"Camp Hill, PA"
La Grande,OR,6,6,"La Grande, OR"
Penfield,NY,6,14,"Penfield, NY"
Kirksville,MO,6,12,"Kirksville, MO"
Kinston,NC,6,13,"Kinston, NC"
Hermosa Beach,CA,6,51,"Hermosa Beach, CA"
Westport,MA,6,15,"Westport, MA"
Apple Valley,CA,6,17,"Apple Valley, CA"
Herriman,UT,6,12,"Herriman, UT"
Kingman,AZ,6,42,"Kingman, AZ"
Avon,NY,6,23,"Avon, NY"
Creswell,OR,6,20,"Creswell, OR"
Middleton,WI,6,14,"Middleton, WI"
Creve Coeur,MO,6,10,"Creve Coeur, MO"
Shirley,MA,6,12,"Shirley, MA"
Horseheads,NY,6,32,"Horseheads, NY"
Lafayette,CA,6,14,"Lafayette, CA"
Decatur,AL,6,13,"Decatur, AL"
Rolling Meadows,IL,6,32,"Rolling Meadows, IL"
Dayton,OR,6,10,"Dayton, OR"
Shelburne,VT,6,10,"Shelburne, VT"
Westminster,MD,6,20,"Westminster, MD"
Jekyll Island,GA,6,44,"Jekyll Island, GA"
Imperial Beach,CA,6,12,"Imperial Beach, CA"
Incline Village,NV,6,23,"Incline Village, NV"
Woodbridge,NJ,6,33,"Woodbridge, NJ"
Dearborn Heights,MI,6,23,"Dearborn Heights, MI"
Indialantic,FL,6,10,"Indialantic, FL"
Jamesville,NY,6,9,"Jamesville, NY"
Horseshoe Bay,TX,6,12,"Horseshoe Bay, TX"
Sheridan,WY,6,11,"Sheridan, WY"
Cabazon,CA,6,42,"Cabazon, CA"
Waleska,GA,6,11,"Waleska, GA"
Denham Springs,LA,6,13,"Denham Springs, LA"
Inver Grove Heights,MN,6,28,"Inver Grove Heights, MN"
Placentia,CA,6,10,"Placentia, CA"
Minneola,FL,6,12,"Minneola, FL"
Minot,ND,6,17,"Minot, ND"
Miramar Beach,FL,6,10,"Miramar Beach, FL"
Deland,FL,6,27,"Deland, FL"
Rome,GA,6,13,"Rome, GA"
Davison,MI,6,19,"Davison, MI"
Hurst,TX,6,14,"Hurst, TX"
Plainview,NY,6,19,"Plainview, NY"
California,MD,6,22,"California, MD"
Stratton,VT,6,11,"Stratton, VT"
Shippensburg,PA,6,13,"Shippensburg, PA"
Howell,MI,6,15,"Howell, MI"
Northville,MI,6,28,"Northville, MI"
Hudson,MA,6,15,"Hudson, MA"
Johnstown,PA,6,11,"Johnstown, PA"
Hudsonville,MI,6,23,"Hudsonville, MI"
Westbrook,CT,6,14,"Westbrook, CT"
Stow,OH,6,15,"Stow, OH"
Monroe,LA,6,23,"Monroe, LA"
Shawano,WI,6,14,"Shawano, WI"
Woods Cross,UT,6,12,"Woods Cross, UT"
Johnson City,NY,6,42,"Johnson City, NY"
Milledgeville,GA,6,17,"Milledgeville, GA"
Burley,ID,6,34,"Burley, ID"
Plainville,MA,6,14,"Plainville, MA"
Voorheesville,NY,6,19,"Voorheesville, NY"
Johns Island,SC,6,34,"Johns Island, SC"
Dickson,TN,6,27,"Dickson, TN"
Dickinson,ND,6,17,"Dickinson, ND"
Pearland,TX,6,29,"Pearland, TX"
Suisun City,CA,6,45,"Suisun City, CA"
Maple Shade,NJ,6,26,"Maple Shade, NJ"
Campo,CA,6,10,"Campo, CA"
North Conway,NH,6,20,"North Conway, NH"
Menomonee Falls,WI,6,18,"Menomonee Falls, WI"
Vassar College,NY,6,11,"Vassar College, NY"
Richmond,MI,6,10,"Richmond, MI"
Corinth,MS,6,13,"Corinth, MS"
Ansonia,CT,6,18,"Ansonia, CT"
Cornelia,GA,6,7,"Cornelia, GA"
Pasadena,TX,6,17,"Pasadena, TX"
Edgartown,MA,6,9,"Edgartown, MA"
Hammondsport,NY,6,17,"Hammondsport, NY"
Hammond,IN,6,12,"Hammond, IN"
Meridian,MS,6,32,"Meridian, MS"
Harriman,TN,6,6,"Harriman, TN"
East Palo Alto,CA,6,49,"East Palo Alto, CA"
Potsdam,NY,6,33,"Potsdam, NY"
Eatontown,NJ,6,9,"Eatontown, NJ"
Pottsville,PA,6,12,"Pottsville, PA"
Port Orchard,WA,6,21,"Port Orchard, WA"
North East,MD,6,32,"North East, MD"
Rochester,NH,6,17,"Rochester, NH"
Cordele,GA,6,47,"Cordele, GA"
Poway,CA,6,11,"Poway, CA"
Eastham,MA,6,13,"Eastham, MA"
Seneca,SC,6,14,"Seneca, SC"
Tahlequah,OK,6,38,"Tahlequah, OK"
Sandusky,OH,6,25,"Sandusky, OH"
Cannon Beach,OR,6,17,"Cannon Beach, OR"
Berlin,CT,6,12,"Berlin, CT"
Hailey,ID,6,14,"Hailey, ID"
Johnson,VT,5,16,"Johnson, VT"
Newtown,CT,5,12,"Newtown, CT"
Julian,CA,5,6,"Julian, CA"
Huntley,IL,5,20,"Huntley, IL"
Redford Charter Twp,MI,5,11,"Redford Charter Twp, MI"
Portola Valley,CA,5,20,"Portola Valley, CA"
Mount Ida,AR,5,10,"Mount Ida, AR"
Price,UT,5,14,"Price, UT"
Meridian Charter Township,MI,5,12,"Meridian Charter Township, MI"
Hurricane,WV,5,13,"Hurricane, WV"
South Kingstown,RI,5,13,"South Kingstown, RI"
Lumberton,NC,5,31,"Lumberton, NC"
Greenville,ME,5,12,"Greenville, ME"
Hanover,MA,5,23,"Hanover, MA"
Luling,TX,5,28,"Luling, TX"
Totowa,NJ,5,12,"Totowa, NJ"
Strongsville,OH,5,19,"Strongsville, OH"
Oak Ridge,TN,5,12,"Oak Ridge, TN"
Hutto,TX,5,18,"Hutto, TX"
Palmer,MA,5,22,"Palmer, MA"
Laurinburg,NC,5,19,"Laurinburg, NC"
Medina,OH,5,16,"Medina, OH"
Lakeville,MA,5,9,"Lakeville, MA"
Hunt Valley,MD,5,38,"Hunt Valley, MD"
Talkeetna,AK,5,6,"Talkeetna, AK"
Fuquay-varina,NC,5,10,"Fuquay-varina, NC"
South Euclid,OH,5,10,"South Euclid, OH"
Porter Corners,NY,5,10,"Porter Corners, NY"
Lynnfield,MA,5,30,"Lynnfield, MA"
Seaside,OR,5,20,"Seaside, OR"
Piedmont,SC,5,16,"Piedmont, SC"
Princeton,IL,5,14,"Princeton, IL"
Lawton,OK,5,15,"Lawton, OK"
Lynwood,CA,5,10,"Lynwood, CA"
Red Lake,MN,5,12,"Red Lake, MN"
Prosper,TX,5,18,"Prosper, TX"
Irvington,NY,5,12,"Irvington, NY"
Hamilton,VA,5,7,"Hamilton, VA"
Scappoose,OR,5,9,"Scappoose, OR"
Mt. Airy,MD,5,16,"Mt. Airy, MD"
Stow,MA,5,7,"Stow, MA"
Phoenixville,PA,5,22,"Phoenixville, PA"
Red Wing,MN,5,9,"Red Wing, MN"
Johnston,IA,5,8,"Johnston, IA"
Front Royal,VA,5,17,"Front Royal, VA"
Joshua Tree,CA,5,24,"Joshua Tree, CA"
Madison Heights,MI,5,16,"Madison Heights, MI"
Mount Laurel Township,NJ,5,6,"Mount Laurel Township, NJ"
Stonecrest,GA,5,12,"Stonecrest, GA"
Marianna,FL,5,19,"Marianna, FL"
Stateline,NV,5,34,"Stateline, NV"
Rocky Hill,CT,5,24,"Rocky Hill, CT"
Statesboro,GA,5,18,"Statesboro, GA"
Snohomish,WA,5,10,"Snohomish, WA"
Guntersville,AL,5,6,"Guntersville, AL"
Shelby Township,MI,5,12,"Shelby Township, MI"
Santa Teresa,NM,5,6,"Santa Teresa, NM"
Marathon,FL,5,24,"Marathon, FL"
Jacksonville Beach,FL,5,11,"Jacksonville Beach, FL"
Menifee,CA,5,52,"Menifee, CA"
Shepherdsville,KY,5,11,"Shepherdsville, KY"
Interlochen,MI,5,12,"Interlochen, MI"
Paris,TX,5,16,"Paris, TX"
Manitowoc,WI,5,15,"Manitowoc, WI"
Trevose,PA,5,14,"Trevose, PA"
Richfield Springs,NY,5,8,"Richfield Springs, NY"
Manor,TX,5,14,"Manor, TX"
Ogallala,NE,5,18,"Ogallala, NE"
Forsyth,GA,5,13,"Forsyth, GA"
Royersford,PA,5,7,"Royersford, PA"
Forestville,CA,5,9,"Forestville, CA"
Irondale,AL,5,22,"Irondale, AL"
Soda Springs,CA,5,18,"Soda Springs, CA"
Mansfield,MA,5,16,"Mansfield, MA"
Socorro,NM,5,16,"Socorro, NM"
Mansfield,TX,5,12,"Mansfield, TX"
Manson,WA,5,13,"Manson, WA"
Roanoke Rapids,NC,5,15,"Roanoke Rapids, NC"
Sterling,CO,5,14,"Sterling, CO"
Menomonie,WI,5,18,"Menomonie, WI"
Mercer Island,WA,5,14,"Mercer Island, WA"
Sheboygan,WI,5,19,"Sheboygan, WI"
Okemos,MI,5,10,"Okemos, MI"
Jim Thorpe,PA,5,26,"Jim Thorpe, PA"
Melrose Park,IL,5,8,"Melrose Park, IL"
Frederick,CO,5,10,"Frederick, CO"
Lake Orion,MI,5,26,"Lake Orion, MI"
Pinecrest,FL,5,6,"Pinecrest, FL"
Marlton,NJ,5,23,"Marlton, NJ"
Jericho,NY,5,34,"Jericho, NY"
Somerset,MA,5,16,"Somerset, MA"
Smithtown,NY,5,15,"Smithtown, NY"
Jenkintown,PA,5,10,"Jenkintown, PA"
Franklin,NC,5,22,"Franklin, NC"
Mt Pleasant,MI,5,18,"Mt Pleasant, MI"
Franklin,IN,5,14,"Franklin, IN"
Imperial,CA,5,9,"Imperial, CA"
Marinette,WI,5,13,"Marinette, WI"
Robbinsville Township,NJ,5,10,"Robbinsville Township, NJ"
Lakewood,WA,5,16,"Lakewood, WA"
Mamaroneck,NY,5,18,"Mamaroneck, NY"
Solon,OH,5,13,"Solon, OH"
Jasper,GA,5,13,"Jasper, GA"
Travelers Rest,SC,5,10,"Travelers Rest, SC"
Newport,KY,5,31,"Newport, KY"
Maricopa,AZ,5,24,"Maricopa, AZ"
Mount Prospect,IL,5,12,"Mount Prospect, IL"
Lamar,CO,5,15,"Lamar, CO"
Millinocket,ME,5,11,"Millinocket, ME"
Stockbridge,MA,5,12,"Stockbridge, MA"
Fountain Hills,AZ,5,10,"Fountain Hills, AZ"
Reseda,CA,5,5,"Reseda, CA"
Stafford Springs,CT,5,10,"Stafford Springs, CT"
Hayden,CO,5,10,"Hayden, CO"
Hopkinsville,KY,5,10,"Hopkinsville, KY"
Point Pleasant,NJ,5,8,"Point Pleasant, NJ"
Paul Smiths,NY,5,10,"Paul Smiths, NY"
Harvard,IL,5,12,"Harvard, IL"
Gray,GA,5,24,"Gray, GA"
Pontoon Beach,IL,5,22,"Pontoon Beach, IL"
Globe,AZ,5,13,"Globe, AZ"
Mettler,CA,5,10,"Mettler, CA"
Lindsay,CA,5,18,"Lindsay, CA"
Palatine,IL,5,18,"Palatine, IL"
King City,CA,5,24,"King City, CA"
North Bend,WA,5,44,"North Bend, WA"
Port Lavaca,TX,5,12,"Port Lavaca, TX"
Lenoir City,TN,5,7,"Lenoir City, TN"
Murphysboro,IL,5,18,"Murphysboro, IL"
Pollock Pines,CA,5,18,"Pollock Pines, CA"
Highland,NY,5,18,"Highland, NY"
Philomath,OR,5,10,"Philomath, OR"
North Grafton,MA,5,10,"North Grafton, MA"
Moses Lake,WA,5,28,"Moses Lake, WA"
Show Low,AZ,5,11,"Show Low, AZ"
Tiffin,OH,5,7,"Tiffin, OH"
Little Elm,TX,5,16,"Little Elm, TX"
Port Orange,FL,5,18,"Port Orange, FL"
St. Helens,OR,5,13,"St. Helens, OR"
Glen Ellen,CA,5,8,"Glen Ellen, CA"
Summit Park,UT,5,10,"Summit Park, UT"
Harrison,NY,5,22,"Harrison, NY"
Hillsborough,NJ,5,14,"Hillsborough, NJ"
Mccomb,MS,5,13,"Mccomb, MS"
Mcclellan Park,CA,5,10,"Mcclellan Park, CA"
Lemoore,CA,5,15,"Lemoore, CA"
Kittery,ME,5,36,"Kittery, ME"
Port Clinton,OH,5,11,"Port Clinton, OH"
Racine,WI,5,16,"Racine, WI"
Quincy,WA,5,15,"Quincy, WA"
Port Aransas,TX,5,12,"Port Aransas, TX"
Pearl City,HI,5,10,"Pearl City, HI"
Sanger,CA,5,13,"Sanger, CA"
Grandview Heights,OH,5,10,"Grandview Heights, OH"
Spearfish,SD,5,11,"Spearfish, SD"
Laconia,NH,5,12,"Laconia, NH"
Grand Terrace,CA,5,38,"Grand Terrace, CA"
Rye,NY,5,30,"Rye, NY"
Rowlett,TX,5,15,"Rowlett, TX"
Labelle,FL,5,5,"Labelle, FL"
La Verkin,UT,5,14,"La Verkin, UT"
Hebron,KY,5,22,"Hebron, KY"
Mckeesport,PA,5,10,"Mckeesport, PA"
Susanville,CA,5,15,"Susanville, CA"
Mystic,CT,5,24,"Mystic, CT"
Liberty Township,OH,5,10,"Liberty Township, OH"
Lewistown,PA,5,8,"Lewistown, PA"
Norwich,VT,5,12,"Norwich, VT"
Pell City,AL,5,19,"Pell City, AL"
Grand Blanc,MI,5,10,"Grand Blanc, MI"
Pacifica,CA,5,17,"Pacifica, CA"
Granby,CO,5,7,"Granby, CO"
Granbury,TX,5,13,"Granbury, TX"
Lincoln,MA,5,10,"Lincoln, MA"
Lewiston,ID,5,21,"Lewiston, ID"
Pawtucket,RI,5,10,"Pawtucket, RI"
St Pete Beach,FL,5,12,"St Pete Beach, FL"
Morehead City,NC,5,19,"Morehead City, NC"
Lincoln,NH,5,26,"Lincoln, NH"
Napoleon,OH,5,9,"Napoleon, OH"
Owosso,MI,5,25,"Owosso, MI"
Lemon Grove,CA,5,15,"Lemon Grove, CA"
Plymouth,CA,5,13,"Plymouth, CA"
Oswego,IL,5,22,"Oswego, IL"
Lake Forest,IL,5,10,"Lake Forest, IL"
Happy Valley,OR,5,28,"Happy Valley, OR"
Lake Katrine,NY,5,16,"Lake Katrine, NY"
Honeoye Falls,NY,5,16,"Honeoye Falls, NY"
Milan,TN,5,8,"Milan, TN"
Nebraska City,NE,5,7,"Nebraska City, NE"
Kannapolis,NC,5,20,"Kannapolis, NC"
Hooksett,NH,5,39,"Hooksett, NH"
Gardnerville,NV,5,12,"Gardnerville, NV"
Kankakee,IL,5,40,"Kankakee, IL"
Gardiner,NY,5,13,"Gardiner, NY"
Hanover,PA,5,12,"Hanover, PA"
Gardiner,MT,5,10,"Gardiner, MT"
Merrimack,NH,5,14,"Merrimack, NH"
Needles,CA,5,34,"Needles, CA"
Neenah,WI,5,15,"Neenah, WI"
Nelsonville,OH,5,5,"Nelsonville, OH"
Orleans,MA,5,19,"Orleans, MA"
Studio City,CA,5,6,"Studio City, CA"
Sharon,MA,5,16,"Sharon, MA"
Neosho,MO,5,10,"Neosho, MO"
Garden City,GA,5,16,"Garden City, GA"
Lovettsville,VA,5,10,"Lovettsville, VA"
Granite Bay,CA,5,8,"Granite Bay, CA"
Garberville,CA,5,10,"Garberville, CA"
Gansevoort,NY,5,18,"Gansevoort, NY"
Philo,CA,5,9,"Philo, CA"
Galt,CA,5,28,"Galt, CA"
Katonah,NY,5,14,"Katonah, NY"
Schoharie,NY,5,45,"Schoharie, NY"
Peru,IL,5,32,"Peru, IL"
Mayfield,KY,5,12,"Mayfield, KY"
Selma,TX,5,7,"Selma, TX"
Glassboro,NJ,5,20,"Glassboro, NJ"
Spencerport,NY,5,14,"Spencerport, NY"
Glasgow,KY,5,10,"Glasgow, KY"
Southaven,MS,5,20,"Southaven, MS"
Petersburg,VA,5,30,"Petersburg, VA"
Montebello,NY,5,28,"Montebello, NY"
Holbrook,AZ,5,26,"Holbrook, AZ"
Gilford,NH,5,10,"Gilford, NH"
Sullivan,MO,5,18,"Sullivan, MO"
Rancho Santa Fe,CA,5,10,"Rancho Santa Fe, CA"
Sanford,NC,5,19,"Sanford, NC"
Keene,NH,5,7,"Keene, NH"
Tinley Park,IL,5,12,"Tinley Park, IL"
Mount Airy,MD,5,10,"Mount Airy, MD"
Monte Vista,CO,5,7,"Monte Vista, CO"
Midland,TX,5,48,"Midland, TX"
Mcalester,OK,5,33,"Mcalester, OK"
Owasso,OK,5,22,"Owasso, OK"
London,OH,5,25,"London, OH"
Holly Hill,FL,5,12,"Holly Hill, FL"
Georgetown,MA,5,14,"Georgetown, MA"
Norway,ME,5,9,"Norway, ME"
Harlingen,TX,5,24,"Harlingen, TX"
Kaukauna,WI,5,6,"Kaukauna, WI"
Georgetown,CO,5,7,"Georgetown, CO"
Medfield,MA,5,12,"Medfield, MA"
South Sioux City,NE,5,9,"South Sioux City, NE"
Hollywood,CA,5,28,"Hollywood, CA"
Mason City,IA,5,12,"Mason City, IA"
Longview,WA,5,12,"Longview, WA"
Benicia,CA,5,23,"Benicia, CA"
Batavia,OH,5,8,"Batavia, OH"
Winnetka,IL,5,10,"Winnetka, IL"
Downingtown,PA,5,14,"Downingtown, PA"
Buffalo,WV,5,10,"Buffalo, WV"
Celebration,FL,5,24,"Celebration, FL"
Bardstown,KY,5,10,"Bardstown, KY"
Duck,NC,5,14,"Duck, NC"
Euclid,OH,5,15,"Euclid, OH"
Tysons Corner,VA,5,5,"Tysons Corner, VA"
Center Valley,PA,5,12,"Center Valley, PA"
Borrego Springs,CA,5,12,"Borrego Springs, CA"
Yachats,OR,5,13,"Yachats, OR"
Commerce Charter Township,MI,5,10,"Commerce Charter Township, MI"
Centerville,IA,5,10,"Centerville, IA"
Baldwin Park,CA,5,46,"Baldwin Park, CA"
Victoria,TX,5,27,"Victoria, TX"
Colville,WA,5,19,"Colville, WA"
Bourbonnais,IL,5,15,"Bourbonnais, IL"
Esparto,CA,5,9,"Esparto, CA"
Bourne,MA,5,10,"Bourne, MA"
Winter Park,CO,5,16,"Winter Park, CO"
Dundee,OR,5,7,"Dundee, OR"
Dunnigan,CA,5,63,"Dunnigan, CA"
Amityville,NY,5,10,"Amityville, NY"
Chalfont,PA,5,10,"Chalfont, PA"
Whitehall,MI,5,10,"Whitehall, MI"
Collegeville,PA,5,12,"Collegeville, PA"
College Place,WA,5,10,"College Place, WA"
Waterloo,IA,5,19,"Waterloo, IA"
Colfax,CA,5,7,"Colfax, CA"
Ewa Beach,HI,5,7,"Ewa Beach, HI"
Two Harbors,MN,5,19,"Two Harbors, MN"
Bisbee,AZ,5,10,"Bisbee, AZ"
Cedar Falls,IA,5,10,"Cedar Falls, IA"
Farmington,CT,5,13,"Farmington, CT"
Windham,ME,5,15,"Windham, ME"
Beaufort,NC,5,11,"Beaufort, NC"
Farmersville,CA,5,8,"Farmersville, CA"
Beatrice,NE,5,8,"Beatrice, NE"
Windham,NY,5,48,"Windham, NY"
Tully,NY,5,22,"Tully, NY"
Byhalia,MS,5,8,"Byhalia, MS"
Devens,MA,5,10,"Devens, MA"
Wasco,CA,5,14,"Wasco, CA"
Devon,PA,5,9,"Devon, PA"
Wabash,IN,5,9,"Wabash, IN"
Alcoa,TN,5,7,"Alcoa, TN"
Beachwood,OH,5,17,"Beachwood, OH"
Blair,NE,5,9,"Blair, NE"
Beach Haven,NJ,5,9,"Beach Haven, NJ"
Dillon,CO,5,10,"Dillon, CO"
Windsor Locks,CT,5,33,"Windsor Locks, CT"
Fairhaven,MA,5,17,"Fairhaven, MA"
West Gardiner,ME,5,6,"West Gardiner, ME"
Allegan,MI,5,14,"Allegan, MI"
Fairfield,ME,5,6,"Fairfield, ME"
Catoosa,OK,5,19,"Catoosa, OK"
Allen Park,MI,5,14,"Allen Park, MI"
Dobson,NC,5,12,"Dobson, NC"
Wilkesboro,NC,5,12,"Wilkesboro, NC"
Corbin,KY,5,10,"Corbin, KY"
Virginia,MN,5,9,"Virginia, MN"
Coral Springs,FL,5,14,"Coral Springs, FL"
Amory,MS,5,6,"Amory, MS"
Coldwater,OH,5,18,"Coldwater, OH"
Winthrop,WA,5,12,"Winthrop, WA"
Coldwater,MI,5,13,"Coldwater, MI"
Anza,CA,5,8,"Anza, CA"
Elk River,MN,5,15,"Elk River, MN"
East Petersburg,PA,5,7,"East Petersburg, PA"
East Point,GA,5,79,"East Point, GA"
Woodbridge,CT,5,10,"Woodbridge, CT"
Brewster,NY,5,15,"Brewster, NY"
Chester,NY,5,11,"Chester, NY"
Elizabethtown,PA,5,8,"Elizabethtown, PA"
Brick Township,NJ,5,20,"Brick Township, NJ"
Athens,TN,5,9,"Athens, TN"
East Stroudsburg,PA,5,12,"East Stroudsburg, PA"
Woodbury,MN,5,16,"Woodbury, MN"
Wayne,NJ,5,16,"Wayne, NJ"
East Windsor,NJ,5,49,"East Windsor, NJ"
Uvalde,TX,5,14,"Uvalde, TX"
Vance,AL,5,61,"Vance, AL"
Easton,MA,5,12,"Easton, MA"
Woodlake,CA,5,8,"Woodlake, CA"
Chicago Ridge,IL,5,12,"Chicago Ridge, IL"
Eastsound,WA,5,8,"Eastsound, WA"
Claremont,NH,5,7,"Claremont, NH"
Wheaton,MD,5,10,"Wheaton, MD"
Asbury Park,NJ,5,13,"Asbury Park, NJ"
City Of Orange,NJ,5,10,"City Of Orange, NJ"
El Cerrito,CA,5,32,"El Cerrito, CA"
Bristol,VA,5,22,"Bristol, VA"
Arkadelphia,AR,5,9,"Arkadelphia, AR"
Weatherford,OK,5,13,"Weatherford, OK"
Wheeling,WV,5,10,"Wheeling, WV"
Cle Elum,WA,5,32,"Cle Elum, WA"
Brewer,ME,5,18,"Brewer, ME"
Worthington,OH,5,10,"Worthington, OH"
Westwood,KS,5,10,"Westwood, KS"
Vestavia Hills,AL,5,12,"Vestavia Hills, AL"
Watertown,SD,5,27,"Watertown, SD"
Cody,WY,5,7,"Cody, WY"
Cocoa Beach,FL,5,9,"Cocoa Beach, FL"
Weslaco,TX,5,11,"Weslaco, TX"
Englewood,NJ,5,22,"Englewood, NJ"
Verona,NJ,5,9,"Verona, NJ"
Cloverdale,CA,5,8,"Cloverdale, CA"
Encino,CA,5,8,"Encino, CA"
Emporia,KS,5,21,"Emporia, KS"
Charlotte,MI,5,16,"Charlotte, MI"
Brandon,FL,5,30,"Brandon, FL"
Wausau,WI,5,17,"Wausau, WI"
University City,MO,5,10,"University City, MO"
Elko,NV,5,26,"Elko, NV"
Clifton Springs,NY,5,14,"Clifton Springs, NY"
Wrightsville,PA,5,10,"Wrightsville, PA"
East Haddam,CT,5,17,"East Haddam, CT"
White Marsh,MD,5,17,"White Marsh, MD"
East Hampton,NY,5,41,"East Hampton, NY"
Atwater,CA,5,29,"Atwater, CA"
Westwood,NJ,5,20,"Westwood, NJ"
Wethersfield,CT,5,8,"Wethersfield, CT"
Anniston,AL,5,15,"Anniston, AL"
Chelan,WA,5,17,"Chelan, WA"
Breezewood,PA,5,32,"Breezewood, PA"
East Haven,CT,5,24,"East Haven, CT"
Wetumpka,AL,5,10,"Wetumpka, AL"
Black Mountain,NC,5,10,"Black Mountain, NC"
Tyngsborough,MA,5,20,"Tyngsborough, MA"
Tulalip,WA,5,21,"Tulalip, WA"
Canoga Park,CA,5,10,"Canoga Park, CA"
Willow Grove,PA,5,9,"Willow Grove, PA"
Darlington,MD,5,19,"Darlington, MD"
Troy,IL,5,15,"Troy, IL"
Warrenton,VA,5,15,"Warrenton, VA"
Del Rio,TX,5,15,"Del Rio, TX"
Belmont,MA,5,22,"Belmont, MA"
Belmont,NC,5,9,"Belmont, NC"
Walterboro,SC,5,21,"Walterboro, SC"
Delta,CO,5,9,"Delta, CO"
Warrenton,MO,5,14,"Warrenton, MO"
Del Monte Forest,CA,5,7,"Del Monte Forest, CA"
West Saint Paul,MN,5,10,"West Saint Paul, MN"
Danville,IL,5,12,"Danville, IL"
Wailuku,HI,5,23,"Wailuku, HI"
Williamsport,PA,5,18,"Williamsport, PA"
Camden,ME,5,10,"Camden, ME"
Carle Place,NY,5,32,"Carle Place, NY"
Davis,WV,5,14,"Davis, WV"
Florence,KY,5,21,"Florence, KY"
Cambridge,OH,5,17,"Cambridge, OH"
Ferndale,CA,5,7,"Ferndale, CA"
Bedford,TX,5,23,"Bedford, TX"
Yucaipa,CA,5,12,"Yucaipa, CA"
Wappingers Falls,NY,5,12,"Wappingers Falls, NY"
Canal Winchester,OH,5,9,"Canal Winchester, OH"
Berea,KY,5,15,"Berea, KY"
West Tisbury,MA,5,10,"West Tisbury, MA"
Big Sky,MT,5,16,"Big Sky, MT"
Wilton,CT,5,9,"Wilton, CT"
Bedford,NH,5,9,"Bedford, NH"
Carlton,OR,5,9,"Carlton, OR"
Benton Harbor,MI,5,27,"Benton Harbor, MI"
Delavan,WI,5,13,"Delavan, WI"
Deadwood,SD,5,10,"Deadwood, SD"
Florence,AL,5,31,"Florence, AL"
Birch Run,MI,5,12,"Birch Run, MI"
Beavercreek,OH,5,23,"Beavercreek, OH"
Walker,MI,5,18,"Walker, MI"
Bethany Beach,DE,5,14,"Bethany Beach, DE"
Truro,MA,5,10,"Truro, MA"
Flat Rock,NC,5,9,"Flat Rock, NC"
Warsaw,IN,5,10,"Warsaw, IN"
Birmingham,MI,5,54,"Birmingham, MI"
Canton,CT,5,13,"Canton, CT"
Adams,MA,5,9,"Adams, MA"
Warren,RI,5,10,"Warren, RI"
Adrian,MI,5,15,"Adrian, MI"
Damariscotta,ME,5,12,"Damariscotta, ME"
Craig,CO,5,14,"Craig, CO"
Coeur D'alene,ID,4,20,"Coeur D'alene, ID"
